This is a tab delimited file. If you are seeing this in your web browser, you 
probably want to use the "Save target as..." right-click option, or the 
"Download link to disk..." option on macintosh browsers. (Mac users, hold down 
the mouse button over the link until the pop-up menu appears.)
This text file contains the red:green ratios 
from hybridizations done with arrays containing all the elements 
of the yeast genome.  The "i" preceding the element indicates 
that the spot of DNA corresponds to an intergenic segment of DNA 
to the right of the indicated element.  Blanks indicate that the 
spot on the array corresponding to that element did not contain 
usable data.


NAME	FX6	FX4
iYAL066W	0.94	0.79
iYAL067C	0.59	0.65
iYAL068C-0	0.56	0.57
iYAL068C-1	0.94	0.83
iYAL068C-2	0.59	0.7
iYAL068C-3	0.7	0.81
iYAL069W	1.63	1.23
iYALCdelta2	0.97	0.95
iYALWdelta1	1.85	1.32
iYAR002C-A	0.93	0.73
iYAR002W	0.83	0.75
iYAR003W	0.7	0.74
iYAR007C	0.83	0.61
iYAR008W	0.73	0.79
iYAR009C	1.26	1.16
iYAR014C	0.83	0.91
iYAR015W	0.9	0.92
iYAR018C	0.86	0.84
iYAR019C-0	1.07	0.98
iYAR019C-1	0.89	0.92
iYAR020C-0	0.81	0.77
iYAR020C-1	0.79	0.97
iYAR023C	1.09	0.95
iYAR027W	0.95	0.9
iYAR028W	0.95	0.85
iYAR031W	1.21	0.82
iYAR033W	1.4	1.12
iYAR035W	1.05	1.2
iYAR042W	1.6	1.46
iYAR044W-0	0.79	0.81
iYAR044W-1	1.02	0.75
iYAR044W-2	0.65	0.75
iYAR044W-3	1.21	1.14
iYAR047C-0	0.83	0.84
iYAR047C-1	0.9	1.1
iYAR050W	0.9	0.87
iYAR053W	1.55	1.28
iYAR060C	1.15	1.02
iYAR061W	0.68	0.8
iYAR062W	0.98	1.26
iYAR064W	0.87	0.9
iYAR066W	0.86	1.06
iYAR068W	0.76	0.72
iYAR069C	1	0.89
iYAR070C	0.7	0.63
iYAR071W	1.2	1.01
iYARCdelta5	0.79	0.83
iYARCdelta8-0	1.9	1.16
iYARCdelta8-1	1.48	1.12
iYARCdelta8-2	0.71	0.96
iYARCdelta8-3	1.32	1.07
iYARCdelta8-4	0.93	0.99
iYARWdelta6	0.99	0.95
iYARWdelta7	1.27	1.07
iYARWsigma1	0.89	0.95
iYBL001C	0.99	0.83
iYBL002W	1	0.78
iYBL003C	0.78	0.64
iYBL004W	0.82	0.81
iYBL005W	0.99	0.77
iYBL006C	1.28	1.33
iYBL007C	1.61	1.52
iYBL008W	0.85	0.87
iYBL009W	0.81	0.66
iYBL010C	0.85	0.81
iYBL011W	0.9	0.86
iYBL013W	1.45	1.18
iYBL014C	1.34	1.06
iYBL015W	1.27	1.07
iYBL016W	2.22	1.52
iYBL017C	1.01	1.13
iYBL018C	1.27	1.17
iYBL019W	0.82	1.08
iYBL020W	1.5	1.23
iYBL021C	1.21	1.25
iYBL022C	1.16	1.08
iYBL023C	0.86	1.08
